Date,Close
02/01/2018 16:00:00,10.98
03/01/2018 16:00:00,11.55
04/01/2018 16:00:00,12.12
05/01/2018 16:00:00,11.88
08/01/2018 16:00:00,12.28
09/01/2018 16:00:00,11.82
10/01/2018 16:00:00,11.96
11/01/2018 16:00:00,12.14
12/01/2018 16:00:00,12.02
16/01/2018 16:00:00,11.91
17/01/2018 16:00:00,12.18
18/01/2018 16:00:00,12.47
19/01/2018 16:00:00,12.59
22/01/2018 16:00:00,12.65
23/01/2018 16:00:00,12.94
24/01/2018 16:00:00,12.71
25/01/2018 16:00:00,12.41
26/01/2018 16:00:00,12.95
29/01/2018 16:00:00,13.32
30/01/2018 16:00:00,12.87
31/01/2018 16:00:00,13.74
01/02/2018 16:00:00,13.25
02/02/2018 16:00:00,12.45
05/02/2018 16:00:00,11.57
06/02/2018 16:00:00,11.65
07/02/2018 16:00:00,11.6
08/02/2018 16:00:00,11.22
09/02/2018 16:00:00,11.31
12/02/2018 16:00:00,11.68
13/02/2018 16:00:00,11.78
14/02/2018 16:00:00,12.2
15/02/2018 16:00:00,12.19
16/02/2018 16:00:00,11.82
20/02/2018 16:00:00,12.02
21/02/2018 16:00:00,11.72
22/02/2018 16:00:00,11.84
23/02/2018 16:00:00,12.07
26/02/2018 16:00:00,12.42
27/02/2018 16:00:00,12.53
28/02/2018 16:00:00,12.11
01/03/2018 16:00:00,11.9
02/03/2018 16:00:00,11.81
05/03/2018 16:00:00,11.91
06/03/2018 16:00:00,11.76
07/03/2018 16:00:00,12.24
08/03/2018 16:00:00,11.97
09/03/2018 16:00:00,11.7
12/03/2018 16:00:00,11.52
13/03/2018 16:00:00,11.64
14/03/2018 16:00:00,11.36
15/03/2018 16:00:00,11.46
16/03/2018 16:00:00,11.47
19/03/2018 16:00:00,11.43
20/03/2018 16:00:00,11.11
21/03/2018 16:00:00,11.26
22/03/2018 16:00:00,10.91
23/03/2018 16:00:00,10.63
26/03/2018 16:00:00,10.44
27/03/2018 16:00:00,10
28/03/2018 16:00:00,9.81
29/03/2018 16:00:00,10.05
02/04/2018 16:00:00,9.53
03/04/2018 16:00:00,9.55
04/04/2018 16:00:00,9.77
05/04/2018 16:00:00,10.02
06/04/2018 16:00:00,9.61
09/04/2018 16:00:00,9.53
10/04/2018 16:00:00,9.98
11/04/2018 16:00:00,9.82
12/04/2018 16:00:00,10.08
13/04/2018 16:00:00,9.93
16/04/2018 16:00:00,10.09
17/04/2018 16:00:00,10.52
18/04/2018 16:00:00,10.36
19/04/2018 16:00:00,10.11
20/04/2018 16:00:00,9.99
23/04/2018 16:00:00,10.04
24/04/2018 16:00:00,10.09
25/04/2018 16:00:00,9.71
26/04/2018 16:00:00,11.04
27/04/2018 16:00:00,11.11
30/04/2018 16:00:00,10.88
01/05/2018 16:00:00,11.13
02/05/2018 16:00:00,10.97
03/05/2018 16:00:00,10.93
04/05/2018 16:00:00,11.28
07/05/2018 16:00:00,11.59
08/05/2018 16:00:00,11.61
09/05/2018 16:00:00,11.95
10/05/2018 16:00:00,12.13
11/05/2018 16:00:00,11.95
14/05/2018 16:00:00,12.23
15/05/2018 16:00:00,12.45
16/05/2018 16:00:00,12.82
17/05/2018 16:00:00,12.82
18/05/2018 16:00:00,12.82
21/05/2018 16:00:00,12.99
22/05/2018 16:00:00,12.98
23/05/2018 16:00:00,13.1
24/05/2018 16:00:00,13.41
25/05/2018 16:00:00,13.54
29/05/2018 16:00:00,13.36
30/05/2018 16:00:00,13.82
31/05/2018 16:00:00,13.73
01/06/2018 16:00:00,14.4
04/06/2018 16:00:00,14.85
05/06/2018 16:00:00,14.85
06/06/2018 16:00:00,15.67
07/06/2018 16:00:00,14.89
08/06/2018 16:00:00,15.25
11/06/2018 16:00:00,15.73
12/06/2018 16:00:00,15.85
13/06/2018 16:00:00,16.32
14/06/2018 16:00:00,16.25
15/06/2018 16:00:00,16.34
18/06/2018 16:00:00,17.11
19/06/2018 16:00:00,16.69
20/06/2018 16:00:00,16.52
21/06/2018 16:00:00,15.65
22/06/2018 16:00:00,15.8
25/06/2018 16:00:00,15.11
26/06/2018 16:00:00,15.5
27/06/2018 16:00:00,14.97
28/06/2018 16:00:00,15.31
29/06/2018 16:00:00,14.99
02/07/2018 16:00:00,15.16
03/07/2018 13:00:00,15
05/07/2018 16:00:00,15.5
06/07/2018 16:00:00,16.36
09/07/2018 16:00:00,16.61
10/07/2018 16:00:00,16.55
11/07/2018 16:00:00,16.27
12/07/2018 16:00:00,16.56
13/07/2018 16:00:00,16.27
16/07/2018 16:00:00,16.58
17/07/2018 16:00:00,16.87
18/07/2018 16:00:00,16.85
19/07/2018 16:00:00,16.71
20/07/2018 16:00:00,16.5
23/07/2018 16:00:00,16.66
24/07/2018 16:00:00,16.19
25/07/2018 16:00:00,16.05
26/07/2018 16:00:00,18.35
27/07/2018 16:00:00,18.94
30/07/2018 16:00:00,19.42
31/07/2018 16:00:00,18.33
01/08/2018 16:00:00,18.48
02/08/2018 16:00:00,18.79
03/08/2018 16:00:00,18.49
06/08/2018 16:00:00,19.43
07/08/2018 16:00:00,19.56
08/08/2018 16:00:00,19.58
09/08/2018 16:00:00,19.1
10/08/2018 16:00:00,19.06
13/08/2018 16:00:00,19.73
14/08/2018 16:00:00,20.02
15/08/2018 16:00:00,19.7
16/08/2018 16:00:00,19.33
17/08/2018 16:00:00,19.77
20/08/2018 16:00:00,19.98
21/08/2018 16:00:00,20.4
22/08/2018 16:00:00,20.9
23/08/2018 16:00:00,22.29
24/08/2018 16:00:00,23.98
27/08/2018 16:00:00,25.26
28/08/2018 16:00:00,25.05
29/08/2018 16:00:00,25.2
30/08/2018 16:00:00,24.89
